PID,PartnerId,TcinId,Color,colorName,Size,DepartmentIds,ClassIds
PID-Z275ZZ,3275,94826068,Black,Ebony,Medium,333,1
PID-Z275ZZ,3275,94826025,Blue,Aqua Blue,Small,333,1
PID-Z275ZZ,3275,94826036,Silver,Silver,X Small,333,1
PID-Z275ZZ,3275,94826069,Black,Ebony,Large,333,1
PID-Z275ZZ,3275,94826026,Blue,Aqua Blue,Medium,333,1
PID-Z275ZZ,3275,94826037,Silver,Silver,Small,333,1
PID-Z275ZZ,3275,94826027,Blue,Aqua Blue,Large,333,1
PID-Z275ZZ,3275,94826038,Silver,Silver,Medium,333,1
PID-Z28451,8924,95298096,Pink,Pink,X Small,333,0
PID-Z28451,8924,1010544690,Pink,Pink,Large,333,0
PID-Z28451,8924,1010544730,Green,Dark Teal Green,XX Large,333,0
PID-Z28451,8924,1010544691,Pink,Pink,XX Large,333,0
PID-Z28451,8924,95298099,Gray,Charcoal Gray,Small,333,0
PID-Z28451,8924,95298100,Gray,Charcoal Gray,Medium,333,0
PID-Z28451,8924,1010544728,Green,Dark Teal Green,X Small,333,0
PID-Z28451,8924,95298142,Green,Dark Teal Green,Medium,333,0
PID-Z28451,8924,95298141,Green,Dark Teal Green,Small,333,0
PID-Z28451,8924,1010544729,Green,Dark Teal Green,X Large,333,0
PID-Z28451,8924,95298143,Green,Dark Teal Green,Large,333,0
PID-Z28451,8924,95298101,Gray,Charcoal Gray,X Large,333,0
PID-Z28451,8924,1010544693,Gray,Charcoal Gray,Large,333,0
PID-Z28451,8924,1010544692,Gray,Charcoal Gray,X Small,333,0
PID-Z28451,8924,95298098,Pink,Pink,X Large,333,0
PID-Z28451,8924,95298097,Pink,Pink,Medium,333,0
PID-Z28451,8924,1010544689,Pink,Pink,Small,333,0
PID-Z28451,8924,95298102,Gray,Charcoal Gray,XX Large,333,0
PID-Z2E2PG,2185,95049296,Off-White,Cream,Medium,333,1
PID-Z2E2PG,2185,1007015367,Pink,Rose Pink,XX Large,333,1
PID-Z2E2PG,2185,95049338,Pink,Rose Pink,Large,333,1
PID-Z2E2PG,2185,95049339,Pink,Rose Pink,X Large,333,1
PID-Z2E2PG,2185,95049335,Pink,Rose Pink,X Small,333,1
PID-Z2E2PG,2185,95049337,Pink,Rose Pink,Medium,333,1
PID-Z2E2PG,2185,95049297,Off-White,Cream,Large,333,1
PID-Z2E2PG,2185,95049299,Off-White,Cream,XX Large,333,1
PID-Z2E2PG,2185,95049295,Off-White,Cream,Small,333,1
PID-Z2E2PG,2185,95049336,Pink,Rose Pink,Small,333,1
PID-Z2E2PG,2185,95049298,Off-White,Cream,X Large,333,1
PID-Z2E2PG,2185,95049294,Off-White,Cream,X Small,333,1
PID-Z2P5EX,14472,1011685391,Red,Red,XX Large,333,
PID-Z2P5EX,14472,1011685390,Red,Red,X Large,333,
PID-Z2P5EX,14472,1011685285,Green,Dark Green,Small,333,
PID-Z2P5EX,14472,1011685286,Green,Dark Green,Medium,333,
PID-Z2P5EX,14472,1011685470,Blue,Navy Blue,X Large,333,
PID-Z2P5EX,14472,1011685284,Green,Dark Green,X Small,333,
PID-Z2P5EX,14472,1011685471,Blue,Navy Blue,XX Large,333,
PID-Z2P5EX,14472,1011685289,Green,Dark Green,XX Large,333,
PID-Z2P5EX,14472,1011685388,Red,Red,Medium,333,
PID-Z2P5EX,14472,1011685498,Pink,Light Pink,Medium,333,
PID-Z2P5EX,14472,1011685389,Red,Red,Large,333,
PID-Z2P5EX,14472,1011685466,Blue,Navy Blue,X Small,333,
PID-Z2P5EX,14472,1011685499,Pink,Light Pink,Large,333,
PID-Z2P5EX,14472,1011685287,Green,Dark Green,Large,333,
PID-Z2P5EX,14472,1011685386,Red,Red,X Small,333,
PID-Z2P5EX,14472,1011685496,Pink,Light Pink,X Small,333,
PID-Z2P5EX,14472,1011685288,Green,Dark Green,X Large,333,
PID-Z2P5EX,14472,1011685387,Red,Red,Small,333,
PID-Z2P5EX,14472,1011685497,Pink,Light Pink,Small,333,
PID-Z2P5EX,14472,1011685469,Blue,Navy Blue,Large,333,
PID-Z2P5EX,14472,1011685467,Blue,Navy Blue,Small,333,
PID-Z2P5EX,14472,1011685500,Pink,Light Pink,X Large,333,
PID-Z2P5EX,14472,1011685468,Blue,Navy Blue,Medium,333,
PID-Z2P5EX,14472,1011685501,Pink,Light Pink,XX Large,333,
PID-Z2RG0K,14472,94714990,Red,Red,Small,333,
PID-Z2RG0K,14472,94715045,Off-White,Off-White,Medium,333,
PID-Z2RG0K,14472,94714991,Red,Red,Medium,333,
PID-Z2RG0K,14472,94715046,Off-White,Off-White,Large,333,
PID-Z2RG0K,14472,94714992,Red,Red,Large,333,
PID-Z2RG0K,14472,94715047,Off-White,Off-White,X Large,333,
